freq (Hz),v (m/s),Thrust force (N)
26,58,-53.09165437
26,59,-52.22221064
26,60,-51.38240627
26,61,-50.57109881
26,62,-49.78717877
26,63,-49.0295705
26,64,-48.29723285
26,65,-47.5891597
31,0,340.3463468
31,1,389.3245407
31,2,452.6378564
31,3,527.5938727
31,4,583.5792417
31,5,480.1662452
31,6,35.10200698
31,7,-480.6392384
31,8,-699.2184699
31,9,-630.0859045
31,10,-518.913168
31,11,-444.7414041
31,12,-389.8329453
31,13,-341.4025508
31,14,-301.8142374
31,15,-270.564609
31,16,-244.2476256
31,17,-221.2971084
31,18,-201.917999
31,19,-186.3340586
31,20,-174.0693822
31,21,-164.1935579
31,22,-155.7706758
31,23,-148.1229463
31,24,-140.8796561
31,25,-133.9083159
31,26,-127.2162567
31,27,-120.8687187
31,28,-114.9365921
31,29,-109.4704722
31,30,-104.4926155
31,31,-99.99885456
31,32,-95.96480099
31,33,-92.35293967
31,34,-89.11891463
31,35,-86.21637159
31,36,-83.60030493
31,37,-81.22912247
31,38,-79.06572577
31,39,-77.07789443
31,40,-75.23821547
31,41,-73.52374201
31,42,-71.91551239
31,43,-70.39801817
31,44,-68.95867654
31,45,-67.58733939
31,46,-66.27585524
31,47,-65.01768988
31,48,-63.80760528
31,49,-62.64139244
31,50,-61.51565266
31,51,-60.42762028
31,52,-59.3750209
31,53,-58.35595882
31,54,-57.3688287
31,55,-56.41224663
31,56,-55.48499693
31,57,-54.58599142
31,58,-53.7142385
31,59,-52.86881995
31,60,-52.04887365
31,61,-51.25358096
31,62,-50.48215756
31,63,-49.73384696
31,64,-49.00791601
31,65,-48.30365184
36,0,297.7918497
36,1,336.0087369
36,2,385.4474009
36,3,447.6476889
36,4,518.3192934
36,5,562.0483119
36,6,434.6253918
36,7,10.89123685
36,8,-451.536317
36,9,-679.3164877
36,10,-633.5511019
36,11,-519.8452151
36,12,-438.2172599
36,13,-387.1735063
36,14,-344.4059042
36,15,-304.1649786
36,16,-270.6968659
36,17,-244.7077297
36,18,-223.4569942
36,19,-204.7918096
36,20,-188.2345386
36,21,-174.0603205
36,22,-162.3988238
36,23,-152.9740288
36,24,-145.2477934
36,25,-138.6450679
36,26,-132.7030073
36,27,-127.1216129
36,28,-121.7488725
36,29,-116.538412
36,30,-111.5048955
36,31,-106.6888735
36,32,-102.133838
36,33,-97.87385829
36,34,-93.92876623
36,35,-90.30397134
36,36,-86.99266583
36,37,-83.97892747
36,38,-81.24084489
36,39,-78.7532258
36,40,-76.48972537
36,41,-74.42438907
36,42,-72.53268199
36,43,-70.79210467
36,44,-69.18249742
36,45,-67.68612297
36,46,-66.28760108
36,47,-64.97375148
36,48,-63.73338669
36,49,-62.55708401
36,50,-61.43695593
36,51,-60.36643132
36,52,-59.34005447
36,53,-58.3533053
36,54,-57.40244182
36,55,-56.48436423
36,56,-55.59649926
36,57,-54.73670273
36,58,-53.90317839
36,59,-53.09441063
36,60,-52.30910932
36,61,-51.54616479
36,62,-50.80461133
36,63,-50.0835978
36,64,-49.38236407
36,65,-48.70022229
41,0,264.1738204
41,1,294.5065553
41,2,333.3361613
41,3,382.5279042
41,4,443.023856
41,5,508.9352812
41,6,539.4931041
41,7,388.8759154
41,8,-10.42095596
41,9,-422.9664238
41,10,-655.8141614
41,11,-635.4496522
41,12,-524.9124271
41,13,-434.7075414
41,14,-379.7955645
41,15,-343.0658711
41,16,-308.3593911
41,17,-274.4179373
41,18,-245.6880871
41,19,-223.3855543
41,20,-205.5945556
41,21,-190.2131166
41,22,-176.3046754
41,23,-163.8442266
41,24,-153.0575451
41,25,-144.0136149
41,26,-136.5393039
41,27,-130.3058335
41,28,-124.9483146
41,29,-120.1510325
41,30,-115.6854351
41,31,-111.4124698
41,32,-107.2658789
41,33,-103.2294605
41,34,-99.31591423
41,35,-95.55052816
41,36,-91.96026915
41,37,-88.567511
41,38,-85.38719534
41,39,-82.4262499
41,40,-79.68431543
41,41,-77.15510044
41,42,-74.82792117
41,43,-72.6891678
41,44,-70.72356611
41,45,-68.9151872
41,46,-67.24820637
41,47,-65.70743809
41,48,-64.27868467
41,49,-62.94893777
41,50,-61.70646927
41,51,-60.54084225
41,52,-59.44286757
41,53,-58.40452571
41,54,-57.41886859
41,55,-56.47991227
41,56,-55.58252802
41,57,-54.72233681
41,58,-53.89561035
41,59,-53.09918048
41,60,-52.3303577
41,61,-51.58685899
41,62,-50.86674463
41,63,-50.16836337
41,64,-49.49030536
41,65,-48.83136196
46,0,237.0462036
46,1,261.5518771
46,2,292.5232542
46,3,331.4561426
46,4,379.9689108
46,5,438.4306898
46,6,499.3716548
46,7,515.6010501
46,8,343.3831014
46,9,-29.54312917
46,10,-395.6425801
46,11,-629.0823447
46,12,-634.9163874
46,13,-531.8050402
46,14,-436.218928
46,15,-373.2879247
46,16,-336.1563576
46,17,-308.0480544
46,18,-279.0154688
46,19,-250.0482036
46,20,-225.1399355
46,21,-205.6284911
46,22,-190.2753178
46,23,-177.296351
46,24,-165.5878093
46,25,-154.8379096
46,26,-145.15066
46,27,-136.6838633
46,28,-129.4704727
46,29,-123.395476
46,30,-118.2486287
46,31,-113.7909956
46,32,-109.8049122
46,33,-106.120141
46,34,-102.6204292
46,35,-99.23792671
46,36,-95.94210454
46,37,-92.72769159
46,38,-89.60410203
46,39,-86.58733397
46,40,-83.69442027
46,41,-80.94006543
46,42,-78.33494872
46,43,-75.88518233
46,44,-73.59249594
46,45,-71.45482302
46,46,-69.46706157
46,47,-67.62186279
46,48,-65.9103614
46,49,-64.3228042
46,50,-62.84906114
46,51,-61.47902068
46,52,-60.20288017
46,53,-59.01134685
46,54,-57.89576568
46,55,-56.84818978
46,56,-55.86140723
46,57,-54.92893628
46,58,-54.04499827
46,59,-53.20447618
46,60,-52.40286439
46,61,-51.6362143
46,62,-50.90107878
46,63,-50.19445776
46,64,-49.51374643
46,65,-48.85668701
51,0,214.7461831
51,1,234.8734978
51,2,259.9982881
51,3,291.2168991
51,4,329.9150563
51,5,377.4982649
51,6,433.7629755
51,7,489.6821126
51,8,490.0363366
51,9,298.724107
51,10,-46.96878691
51,11,-370.2301253
51,12,-599.7373569
51,13,-631.2479966
51,14,-539.0575719
51,15,-441.2296117
51,16,-371.0999974
51,17,-328.3572239
51,18,-302.168711
51,19,-279.4255159
51,20,-254.6264957
51,21,-229.6710076
51,22,-207.9209976
51,23,-190.6513507
51,24,-177.1085852
51,25,-165.8823776
51,26,-155.8936239
51,27,-146.6569946
51,28,-138.1168048
51,29,-130.3887378
51,30,-123.5760132
51,31,-117.6915507
51,32,-112.6556343
51,33,-108.3285573
51,34,-104.5492239
51,35,-101.1652343
51,36,-98.05044616
51,37,-95.11153145
51,38,-92.28697915
51,39,-89.54196702
51,40,-86.86170317
51,41,-84.24488701
51,42,-81.69815021
51,43,-79.23179058
51,44,-76.85678311
51,45,-74.58288685
51,46,-72.41760759
51,47,-70.36577872
51,48,-68.42955541
51,49,-66.60865977
51,50,-64.90075759
51,51,-63.30188377
51,52,-61.80686277
51,53,-60.40969269
51,54,-59.10387673
51,55,-57.88269674
51,56,-56.73942962
51,57,-55.66751161
51,58,-54.66065716
51,59,-53.71293965
51,60,-52.81884114
51,61,-51.97327786
51,62,-51.17160697
51,63,-50.40961963
51,64,-49.68352432
51,65,-48.98992351
56,0,196.118997
56,1,212.8974252
56,2,233.6083877
56,3,259.034887
56,4,290.2244884
56,5,328.4815444
56,6,375.0108199
56,7,429.0345523
56,8,479.8618052
56,9,462.5517646
56,10,255.4677658
56,11,-63.01004063
56,12,-347.1797417
56,13,-568.6920033
56,14,-623.8355311
56,15,-545.8644066
56,16,-447.9961997
56,17,-373.0021467
56,18,-323.5398898
56,19,-294.2843036
56,20,-274.6954777
56,21,-255.5044864
56,22,-234.0165138
56,23,-212.349329
56,24,-193.2481855
56,25,-177.8506048
56,26,-165.7285394
56,27,-155.8106735
56,28,-147.1365381
56,29,-139.1525723
56,30,-131.6779918
56,31,-124.7451754
56,32,-118.4489052
56,33,-112.8546653
56,34,-107.964798
56,35,-103.7222278
56,36,-100.0310377
56,37,-96.77968992
56,38,-93.85964695
56,39,-91.17713327
56,40,-88.65855945
56,41,-86.25125282
56,42,-83.92129057
56,43,-81.64992431
56,44,-79.42964453
56,45,-77.26052205
56,46,-75.14714562
56,47,-73.09625863
56,48,-71.11506825
56,49,-69.21013373
56,50,-67.38671623
56,51,-65.64847352
56,52,-63.99739604
56,53,-62.43390032
56,54,-60.95701448
56,55,-59.5646088
56,56,-58.25363828
56,57,-57.02037615
56,58,-55.8606257
56,59,-54.76990394
56,60,-53.74359504
56,61,-52.77707414
56,62,-51.86580382
56,63,-51.00540629
56,64,-50.19171489
56,65,-49.42080829
61,0,180.3437669
61,1,194.5168314
61,2,211.8386968
61,3,232.8646418
61,4,258.3600963
61,5,289.3452853
61,6,327.0573055
61,7,372.4713118
61,8,424.3556284
61,9,469.7101835
61,10,433.1090111
61,11,214.0974959
61,12,-77.84733143
61,13,-326.6970798
61,14,-536.9738552
61,15,-612.4100988
61,16,-551.4681
61,17,-455.5907143
61,18,-377.4661334
61,19,-322.6033965
61,20,-288.0191593
61,21,-267.4008668
61,22,-251.8355283
61,23,-235.1738748
61,24,-216.3656556
61,25,-197.4273876
61,26,-180.569243
61,27,-166.7722694
61,28,-155.8183621
61,29,-146.9129133
61,30,-139.2453288
61,31,-132.2647244
61,32,-125.7149345
61,33,-119.5491606
61,34,-113.8209107
61,35,-108.6003137
61,36,-103.9282358
61,37,-99.80176046
61,38,-96.17895277
61,39,-92.99208408
61,40,-90.16205693
61,41,-87.61023552
61,42,-85.26638037
61,43,-83.0728365
61,44,-80.98578048
61,45,-78.97448743
61,46,-77.01947596
61,47,-75.11018543
61,48,-73.2426262
61,49,-71.41726271
61,50,-69.63725407
61,51,-67.90708612
61,52,-66.23157351
61,53,-64.61518225
61,54,-63.06161213
61,55,-61.57357858
61,56,-60.15273953
61,57,-58.79972186
61,58,-57.51421093
61,59,-56.2950757
61,60,-55.14050933
61,61,-54.04817136
61,62,-53.01532235
61,63,-52.03894578
61,64,-51.11585419
61,65,-50.24277891
66,0,166.8236778
66,1,178.9380225
